ticker,open_price,current_price,year_high,year_low,company_name
SYK,312.19,312.9,317.26,248.8,Stryker Corporation
SYY,75.72,75.75,82.38,62.24,Sysco Corporation
T,16.34,16.48,21.53,13.43,AT&T Inc.
TAP,63.8,63.2,70.9,48.49,Molson Coors Beverage Company
TDG,1027.12,1032.83,1033.81,659.59,Transdigm Group Incorporated
TDY,443.32,440.46,448.71,364.98,Teledyne Technologies Incorpora
TECH,73.73,72.17,89.91,51.79,Bio-Techne Corp
TEL,132.25,131.93,146.6,115.0,TE Connectivity Ltd. New Switze
TER,105.0,104.81,119.2,81.08,"Teradyne, Inc."
TFC,37.435,36.74,51.26,25.56,Truist Financial Corporation
TFX,251.95,249.15,276.43,177.63,Teleflex Incorporated
TGT,142.7,140.91,181.7,102.93,Target Corporation
TJX,95.65,95.03,95.65,72.92,"TJX Companies, Inc. (The)"
TMO,548.51,544.32,609.85,415.6,Thermo Fisher Scientific Inc
TMUS,163.4,162.54,164.5,124.92,"T-Mobile US, Inc."
TPR,37.79,36.34,47.48,25.99,"Tapestry, Inc."
TRGP,84.83,83.82,91.44,64.85,"Targa Resources, Inc."
TRMB,51.83,51.26,62.01,39.57,Trimble Inc.
TROW,110.02,110.49,132.76,87.43,"T. Rowe Price Group, Inc."
TRV,195.91,195.56,196.41,157.33,"The Travelers Companies, Inc."
TSCO,221.43,223.57,251.17,185.0,Tractor Supply Company
TSLA,220.08,218.89,299.29,124.31,"Tesla, Inc."
TSN,54.59,54.87,66.34,44.94,"Tyson Foods, Inc."
TT,247.76,246.15,247.76,162.04,Trane Technologies plc
TTWO,161.87,161.68,164.85,101.77,"Take-Two Interactive Software, "
TXN,166.66,164.87,188.12,139.48,Texas Instruments Incorporated
TXT,78.69,79.38,81.59,61.27,Textron Inc.
TYL,426.97,429.0,430.42,301.69,"Tyler Technologies, Inc."
UAL,42.57,39.78,58.23,33.68,"United Airlines Holdings, Inc."
UBER,63.2,63.2,64.92,28.34,"Uber Technologies, Inc."
UDR,38.91,38.59,45.46,30.95,"UDR, Inc."
UHS,159.0,158.59,160.36,113.69,"Universal Health Services, Inc."
ULTA,486.59,482.08,556.6,368.02,"Ulta Beauty, Inc."
UNH,518.86,521.51,554.7,445.68,UnitedHealth Group Incorporated
UNP,237.27,237.71,246.99,183.69,Union Pacific Corporation
UPS,160.23,158.31,197.8,133.68,"United Parcel Service, Inc."
URI,558.05,559.18,585.5,325.15,"United Rentals, Inc."
USB,42.87,42.15,49.95,27.27,U.S. Bancorp
V,265.13,264.17,266.19,208.76,Visa Inc.
VFC,17.05,16.21,32.13,12.85,V.F. Corporation
VICI,31.45,31.1,35.07,26.625,VICI Properties Inc.
VLO,130.0,131.5,152.2,104.18,Valero Energy Corporation
VLTO,76.21,75.76,83.885,65.51,Veralto Corp
VMC,222.6,223.96,229.75,159.76,Vulcan Materials Company (Holdi
VRSK,235.64,236.77,249.26,169.74,"Verisk Analytics, Inc."
VRSN,205.14,204.18,229.72,188.44,"VeriSign, Inc."
VRTX,432.49,433.4,434.85,283.6,Vertex Pharmaceuticals Incorpor
VTR,48.42,49.11,53.15,39.33,"Ventas, Inc."
VTRS,12.11,11.68,12.49,8.74,Viatris Inc.
VZ,38.19,38.56,42.0,30.14,Verizon Communications Inc.
WAB,127.77,128.02,128.48,91.89,Westinghouse Air Brake Technolo
WAT,305.53,307.96,346.99,231.9,Waters Corporation
WBA,23.97,23.27,37.96,19.68,"Walgreens Boots Alliance, Inc."
WBD,10.67,10.65,16.34,9.27,"Warner Bros. Discovery, Inc. - "
WDC,50.89,50.005,53.21,31.97,Western Digital Corporation
WEC,82.86,82.79,99.26,75.47,"WEC Energy Group, Inc."
WELL,90.56,91.93,93.42,65.18,Welltower Inc.
WFC,47.95,47.4,50.77,35.25,Wells Fargo & Company
WHR,121.19,114.16,160.74,98.4,Whirlpool Corporation
WM,180.0,181.4,181.58,148.31,"Waste Management, Inc."
WMB,35.25,34.92,37.45,27.8,"Williams Companies, Inc. (The)"
WMT,161.37,161.32,169.94,136.09,Walmart Inc.
WRB,73.21,72.81,75.53,55.5,W.R. Berkley Corporation
WRK,41.79,41.69,43.58,26.84,Westrock Company
WST,356.04,346.77,415.73,247.64,"West Pharmaceutical Services, I"
WTW,248.09,248.4,258.93,195.29,Willis Towers Watson Public Lim
WY,34.24,33.63,36.0,27.65,Weyerhaeuser Company
WYNN,93.87,94.11,117.86,81.65,"Wynn Resorts, Limited"
XEL,61.35,61.31,71.96,53.73,Xcel Energy Inc.
XOM,100.14,99.95,120.7,97.48,Exxon Mobil Corporation
XRAY,36.7,36.56,43.24,26.27,DENTSPLY SIRONA Inc.
XYL,112.13,111.73,117.42,87.59,Xylem Inc.
YUM,129.48,129.13,143.25,115.53,"Yum! Brands, Inc."
ZBH,123.69,123.07,149.25,102.0,"Zimmer Biomet Holdings, Inc."
ZBRA,256.77,248.87,351.74,194.59,Zebra Technologies Corporation
ZION,43.58,42.11,55.2,18.26,Zions Bancorporation N.A.
ZTS,197.68,198.94,201.92,151.03,Zoetis Inc.
